Station Na,Station Id,State Code,State Name,Network Co,Network Na,Elevation,Latitude,Longitude,County Nam,County Cod,Start Date,End Date,Aspect_tif,Slope_tif1,LandCover,LC_Detail
Columbus Basin,904,CO,COLORADO,SNTL,SNOTEL,10781,37.44146,-108.02468,La Plata,67,8/30/1994,1/1/2100,1.9872,21.31006,42,Evergreen Forest
Combination,410,MT,MONTANA,SNTL,SNOTEL,5600,46.46523,-113.39358,Granite,39,10/1/1965,1/1/2100,93.42301,13.38994,42,Evergreen Forest
Cool Creek,411,ID,IDAHO,SNTL,SNOTEL,6280,46.76361,-115.29528,Clearwater,35,10/1/1983,1/1/2100,6.52508,14.46341,42,Evergreen Forest
Copeland Lake,412,CO,COLORADO,SNTL,SNOTEL,8555,40.20733,-105.5695,Boulder,13,10/1/1979,1/1/2100,145.59894,20.45643,42,Evergreen Forest
Copper Bottom,413,MT,MONTANA,SNTL,SNOTEL,5200,47.05678,-112.595,Lewis and Clark,49,10/1/1978,1/1/2100,253.16808,9.80667,52,Shrub_Scrub
Copper Camp,414,MT,MONTANA,SNTL,SNOTEL,6950,47.08158,-112.72955,Lewis and Clark,49,10/1/1978,1/1/2100,153.80431,10.79403,52,Shrub_Scrub
Copper Mountain,415,CO,COLORADO,SNTL,SNOTEL,10523,39.48917,-106.17154,Summit,117,10/1/1978,1/1/2100,328.17432,20.35838,21,Developed_Open Space
Corduroy Flat,1209,NV,NEVADA,SNTL,SNOTEL,8640,38.99651,-115.42478,White Pine,33,12/23/2011,1/1/2100,328.34647,14.91179,52,Shrub_Scrub
Coronado Trail,416,AZ,ARIZONA,SNTL,SNOTEL,8418,33.80418,-109.15352,Apache,1,10/1/1978,1/1/2100,200.0782,6.57279,52,Shrub_Scrub
Corral,1236,UT,UTAH,SNTL,SNOTEL,8207,39.65795,-110.37906,Carbon,7,10/1/2013,1/1/2100,273.34097,18.86015,42,Evergreen Forest
Corral Canyon,417,NV,NEVADA,SNTL,SNOTEL,8445,40.27551,-115.54017,Elko,7,10/1/1978,1/1/2100,15.17028,29.15965,41,Deciduous Forest
Corral Pass,418,WA,WASHINGTON,SNTL,SNOTEL,5800,47.01872,-121.46464,Pierce,53,10/1/1979,1/1/2100,251.99171,9.98645,71,Grassland_Herbaceous
Cottonwood Creek,419,WY,WYOMING,SNTL,SNOTEL,7670,42.6459,-110.81482,Lincoln,23,10/1/1980,1/1/2100,322.71655,18.50983,42,Evergreen Forest
Couch Summit,1306,ID,IDAHO,SNTL,SNOTEL,6800,43.51768,-114.8022,Camas,25,10/7/2021,1/1/2100,325.84048,18.13635,42,Evergreen Forest
Cougar Mountain,420,WA,WASHINGTON,SNTL,SNOTEL,3200,47.27666,-121.67138,King,33,10/1/1979,1/1/2100,357.13293,5.92491,42,Evergreen Forest
County Line,422,OR,OREGON,SNTL,SNOTEL,4830,45.19107,-118.55015,Umatilla,59,10/1/1979,1/1/2100,259.6716,3.59546,71,Grassland_Herbaceous
Cozy Cove,423,ID,IDAHO,SNTL,SNOTEL,5400,44.28846,-115.65508,Valley,85,10/1/1978,1/1/2100,300.73907,12.02883,42,Evergreen Forest
Crab Creek,424,ID,IDAHO,SNTL,SNOTEL,6900,44.437,-111.99384,Clark,33,10/1/1979,1/1/2100,48.17824,20.46237,42,Evergreen Forest
Crater Meadows,425,ID,IDAHO,SNTL,SNOTEL,5960,46.56394,-115.28903,Clearwater,35,10/1/1983,1/1/2100,127.40081,12.06378,42,Evergreen Forest
Crazyman Flat,1010,OR,OREGON,SNTL,SNOTEL,6180,42.6381,-120.94917,Klamath,35,9/1/2001,1/1/2100,179.41121,14.91923,52,Shrub_Scrub
Crosho,426,CO,COLORADO,SNTL,SNOTEL,8973,40.16749,-107.05769,Rio Blanco,103,10/1/1985,1/1/2100,225.05992,2.00778,95,Emergent Herbaceous Wetlands
Crow Creek,1045,WY,WYOMING,SNTL,SNOTEL,8335,41.22824,-105.38571,Albany,1,8/1/2003,1/1/2100,124.18152,9.82208,42,Evergreen Forest
Crowder Flat,977,CA,CALIFORNIA,SNTL,SNOTEL,5170,41.89318,-120.75202,Modoc,49,10/1/1999,1/1/2100,88.291,0.52104,42,Evergreen Forest
Crystal Lake,427,MT,MONTANA,SNTL,SNOTEL,6050,46.78942,-109.51205,Fergus,27,9/1/1967,1/1/2100,358.90332,16.29997,42,Evergreen Forest
Css Lab,428,CA,CALIFORNIA,SNTL,SNOTEL,6894,39.32565,-120.36807,Nevada,57,10/1/1980,1/1/2100,266.56049,10.01719,42,Evergreen Forest
Culebra #2,430,CO,COLORADO,SNTL,SNOTEL,10562,37.20939,-105.19988,Costilla,23,10/1/1978,1/1/2100,188.52708,14.98221,42,Evergreen Forest
Cumbres Trestle,431,CO,COLORADO,SNTL,SNOTEL,10035,37.01877,-106.45275,Conejos,21,10/1/1979,1/1/2100,72.35084,4.8429,42,Evergreen Forest
Currant Creek,432,UT,UTAH,SNTL,SNOTEL,7915,40.35747,-111.08993,Wasatch,51,10/1/1978,1/1/2100,146.69246,13.59752,41,Deciduous Forest
Daisy Peak,919,MT,MONTANA,SNTL,SNOTEL,7600,46.66858,-110.33022,Meagher,59,9/1/1977,1/1/2100,185.60078,11.32584,42,Evergreen Forest
Daly Creek,433,MT,MONTANA,SNTL,SNOTEL,5780,46.18367,-113.8533,Ravalli,81,10/1/1966,1/1/2100,235.6429,22.97627,42,Evergreen Forest
Daly Lake,434,OR,OREGON,SNTL,SNOTEL,3690,44.52147,-122.08718,Linn,43,10/1/1978,1/1/2100,10.76688,22.1901,42,Evergreen Forest
Daniels-Strawberry,435,UT,UTAH,SNTL,SNOTEL,8008,40.2953,-111.25677,Wasatch,51,10/1/1978,1/1/2100,53.50143,8.24685,41,Deciduous Forest
Darkhorse Lake,436,MT,MONTANA,SNTL,SNOTEL,8945,45.17367,-113.58448,Beaverhead,1,8/1/1977,1/1/2100,169.84395,10.94613,42,Evergreen Forest
Deadman Creek,437,MT,MONTANA,SNTL,SNOTEL,6450,46.79279,-110.67545,Meagher,59,10/1/1966,1/1/2100,126.44042,7.96883,42,Evergreen Forest
Deadman Hill,438,CO,COLORADO,SNTL,SNOTEL,10239,40.80572,-105.77018,Larimer,69,10/1/1978,1/1/2100,40.815,6.88769,42,Evergreen Forest
Deadwood Summit,439,ID,IDAHO,SNTL,SNOTEL,6860,44.54514,-115.5638,Valley,85,10/1/1978,1/1/2100,136.27478,8.92157,42,Evergreen Forest
Deer Park,923,WY,WYOMING,SNTL,SNOTEL,9700,42.59076,-108.90273,Fremont,13,8/14/1997,1/1/2100,40.85962,10.67435,42,Evergreen Forest
Defiance Mines,1210,NV,NEVADA,SNTL,SNOTEL,9302,39.08527,-114.89977,White Pine,33,12/22/2011,1/1/2100,353.01462,43.57952,42,Evergreen Forest
Derr.,440,OR,OREGON,SNTL,SNOTEL,5850,44.4465,-119.93012,Wheeler,69,10/1/1979,1/1/2100,157.33353,4.15612,42,Evergreen Forest
Diamond Lake,442,OR,OREGON,SNTL,SNOTEL,5280,43.18787,-122.14003,Douglas,19,10/1/1979,1/1/2100,13.21276,5.63887,42,Evergreen Forest
Diamond Peak,443,NV,NEVADA,SNTL,SNOTEL,8017,39.56361,-115.84421,Eureka,11,10/1/1983,1/1/2100,345.03372,18.02641,52,Shrub_Scrub
Dills Camp,444,UT,UTAH,SNTL,SNOTEL,9228,39.04554,-111.46875,Sanpete,39,10/1/1978,1/1/2100,100.24472,6.99359,41,Deciduous Forest
Disaster Peak,445,NV,NEVADA,SNTL,SNOTEL,6260,41.96737,-118.18934,Humboldt,13,10/1/1980,1/1/2100,126.18996,8.58159,71,Grassland_Herbaceous
Dismal Swamp,446,CA,CALIFORNIA,SNTL,SNOTEL,7360,41.99127,-120.18033,Modoc,49,10/1/1979,1/1/2100,139.65213,11.53876,42,Evergreen Forest
Divide,448,MT,MONTANA,SNTL,SNOTEL,7800,44.79317,-112.05645,Madison,57,1/1/1971,1/1/2100,33.25953,9.64435,42,Evergreen Forest
Divide Peak,449,WY,WYOMING,SNTL,SNOTEL,8730,41.30399,-107.15255,Carbon,7,10/1/1979,1/1/2100,354.36096,13.64056,42,Evergreen Forest
Dollarhide Summit,450,ID,IDAHO,SNTL,SNOTEL,8420,43.6025,-114.67417,Blaine,13,10/1/1979,1/1/2100,53.01563,43.79476,52,Shrub_Scrub
Dome Lake,451,WY,WYOMING,SNTL,SNOTEL,8880,44.57462,-107.29537,Sheridan,33,10/1/1978,1/1/2100,30.93358,7.34804,42,Evergreen Forest
Donkey Reservoir,452,UT,UTAH,SNTL,SNOTEL,9799,38.2084,-111.47412,Wayne,55,10/1/1985,1/1/2100,160.03931,10.5724,43,Mixed Forest
Dorsey Basin,453,NV,NEVADA,SNTL,SNOTEL,7903,40.89343,-115.21104,Elko,7,10/1/1978,1/1/2100,191.53075,4.62364,52,Shrub_Scrub
Draw Creek,454,NV,NEVADA,SNTL,SNOTEL,7332,41.661,-115.3234,Elko,7,10/1/1983,1/1/2100,23.32063,10.54348,41,Deciduous Forest
Dry Bread Pond,455,UT,UTAH,SNTL,SNOTEL,8302,41.41289,-111.5377,Cache,5,10/1/1978,1/1/2100,188.72716,15.73786,41,Deciduous Forest
Dry Creek,1243,NV,NEVADA,SNTL,SNOTEL,6555,40.8638,-115.22014,Elko,7,10/1/2013,1/1/2100,271.67007,21.90303,52,Shrub_Scrub
Dry Fork,906,UT,UTAH,SNTL,SNOTEL,7093,40.56533,-112.17343,Salt Lake,35,10/1/1994,1/1/2100,44.01029,16.74216,41,Deciduous Forest
Dry Lake,457,CO,COLORADO,SNTL,SNOTEL,8271,40.5337,-106.7814,Routt,107,10/1/1979,1/1/2100,184.14761,17.18655,41,Deciduous Forest
Dungeness,943,WA,WASHINGTON,SNTL,SNOTEL,4010,47.87224,-123.0788,Clallam,9,10/1/1998,1/1/2100,257.88162,32.09437,42,Evergreen Forest
Dupuyer Creek,458,MT,MONTANA,SNTL,SNOTEL,5750,48.06341,-112.7573,Teton,99,10/1/1982,1/1/2100,346.84253,14.51475,42,Evergreen Forest
East Boulder Mine,1105,MT,MONTANA,SNTL,SNOTEL,6335,45.50381,-110.08019,Sweet Grass,97,6/19/2008,1/1/2100,126.07421,8.61688,42,Evergreen Forest
East Rim Divide,460,WY,WYOMING,SNTL,SNOTEL,7930,43.13097,-110.2023,Sublette,35,10/1/1984,1/1/2100,358.83389,12.49404,42,Evergreen Forest
East Willow Creek,461,UT,UTAH,SNTL,SNOTEL,8302,39.31213,-109.53179,Grand,19,8/6/1986,1/1/2100,25.31287,15.59639,41,Deciduous Forest
Easy Pass,998,WA,WASHINGTON,SNTL,SNOTEL,5270,48.85933,-121.43895,Whatcom,73,9/19/2008,1/1/2100,312.72202,20.61683,52,Shrub_Scrub
Ebbetts Pass,462,CA,CALIFORNIA,SNTL,SNOTEL,8661,38.5497,-119.80468,Alpine,3,10/1/1978,1/1/2100,280.01108,10.57064,52,Shrub_Scrub
Echo Lake,936,CO,COLORADO,SNTL,SNOTEL,10694,39.65539,-105.59358,Clear Creek,19,8/10/1998,1/1/2100,33.1328,13.32182,42,Evergreen Forest
Echo Peak,463,CA,CALIFORNIA,SNTL,SNOTEL,7653,38.849,-120.0795,El Dorado,17,10/1/1980,1/1/2100,143.99179,19.59531,52,Shrub_Scrub
EF Blacks Fork GS,1163,UT,UTAH,SNTL,SNOTEL,9360,40.88472,-110.54056,Summit,43,10/22/2010,1/1/2100,75.98856,3.66036,42,Evergreen Forest
Eilertson Meadows,464,OR,OREGON,SNTL,SNOTEL,5510,44.86887,-118.11387,Baker,1,10/1/1979,1/1/2100,298.84637,5.48872,42,Evergreen Forest
El Diente Peak,465,CO,COLORADO,SNTL,SNOTEL,10217,37.78607,-108.02235,Dolores,33,10/1/1985,1/1/2100,39.9962,5.6906,71,Grassland_Herbaceous
Elbow Lake,910,WA,WASHINGTON,SNTL,SNOTEL,3040,48.69092,-121.90893,Whatcom,73,8/24/1995,1/1/2100,192.53084,24.30992,42,Evergreen Forest
Elk Butte,466,ID,IDAHO,SNTL,SNOTEL,5690,46.83998,-116.12233,Clearwater,35,10/1/1982,1/1/2100,210.42613,17.0355,42,Evergreen Forest
Elk Cabin,921,NM,NEW MEXICO,SNTL,SNOTEL,8239,35.7073,-105.80584,Santa Fe,49,10/1/1996,1/1/2100,272.51746,9.49333,42,Evergreen Forest
Elk Peak,1106,MT,MONTANA,SNTL,SNOTEL,7600,46.4845,-110.7125,Meagher,59,7/8/2008,1/1/2100,15.64793,6.764,42,Evergreen Forest
Elk River,467,CO,COLORADO,SNTL,SNOTEL,8739,40.84758,-106.96861,Routt,107,10/1/1978,1/1/2100,280.95752,18.20327,41,Deciduous Forest
Elkhart Park G.S.,468,WY,WYOMING,SNTL,SNOTEL,9400,43.00657,-109.75893,Sublette,35,10/1/1963,1/1/2100,313.104,10.33553,42,Evergreen Forest
Elkhead Divide,1252,CO,COLORADO,SNTL,SNOTEL,8800,40.79637,-107.10113,Routt,107,9/1/2016,1/1/2100,319.1449,8.96437,42,Evergreen Forest
Elliot Ridge,1120,CO,COLORADO,SNTL,SNOTEL,10549,39.8638,-106.42473,Summit,117,8/7/2009,1/1/2100,20.42156,8.9872,42,Evergreen Forest
Emery Creek,469,MT,MONTANA,SNTL,SNOTEL,4350,48.43412,-113.93725,Flathead,29,10/1/1975,1/1/2100,219.44762,4.17145,42,Evergreen Forest
Emigrant Springs,470,OR,OREGON,SNTL,SNOTEL,3800,45.55808,-118.45383,Umatilla,59,10/1/1979,1/1/2100,161.4482,11.32557,42,Evergreen Forest
Emigrant Summit,471,ID,IDAHO,SNTL,SNOTEL,7390,42.36055,-111.56085,Bear Lake,7,10/1/1979,1/1/2100,320.16675,6.84984,42,Evergreen Forest
Evening Star,472,WY,WYOMING,SNTL,SNOTEL,9200,44.65258,-109.78422,Park,29,10/1/1979,1/1/2100,0.93492,12.56865,42,Evergreen Forest
Fallen Leaf,473,CA,CALIFORNIA,SNTL,SNOTEL,6242,38.93403,-120.0545,El Dorado,17,10/1/1979,1/1/2100,24.25804,1.53229,95,Emergent Herbaceous Wetlands
Farmington,474,UT,UTAH,SNTL,SNOTEL,7902,40.97462,-111.80975,Davis,11,10/1/1978,1/1/2100,2.52157,15.15839,41,Deciduous Forest
Farmington Lower,1054,UT,UTAH,SNTL,SNOTEL,6779,40.992,-111.81702,Davis,11,11/20/2003,1/1/2100,357.35217,7.58867,41,Deciduous Forest
Farnsworth Lake,475,UT,UTAH,SNTL,SNOTEL,9623,38.77246,-111.67662,Sevier,41,7/24/1980,1/1/2100,355.76614,8.86968,41,Deciduous Forest
Fawn Creek,476,NV,NEVADA,SNTL,SNOTEL,7031,41.82098,-116.10153,Elko,7,10/1/1980,1/1/2100,333.43225,21.57703,41,Deciduous Forest
Fish Ck,1305,ID,IDAHO,SNTL,SNOTEL,6330,43.55542,-113.71924,Blaine,13,9/29/2021,1/1/2100,325.89035,24.88815,42,Evergreen Forest
Fish Creek,477,OR,OREGON,SNTL,SNOTEL,7660,42.70992,-118.6321,Harney,25,10/1/1978,1/1/2100,53.49542,9.77336,52,Shrub_Scrub
Fish Lake,478,WA,WASHINGTON,SNTL,SNOTEL,3430,47.53565,-121.08553,Kittitas,37,10/1/1979,1/1/2100,197.84328,15.6395,42,Evergreen Forest
Fish Lake Utah,1149,UT,UTAH,SNTL,SNOTEL,8798,38.50455,-111.76693,Sevier,41,10/1/2010,1/1/2100,91.56167,9.11937,41,Deciduous Forest
Fish Lk.,479,OR,OREGON,SNTL,SNOTEL,4660,42.3801,-122.34943,Jackson,29,10/1/1979,1/1/2100,178.5493,3.01226,42,Evergreen Forest
Fisher Creek,480,MT,MONTANA,SNTL,SNOTEL,9100,45.06235,-109.94488,Park,67,10/1/1966,1/1/2100,52.74408,9.31986,42,Evergreen Forest
Five Points Lake,481,UT,UTAH,SNTL,SNOTEL,10943,40.71785,-110.46721,Duchesne,13,8/14/1980,1/1/2100,115.85046,3.37521,42,Evergreen Forest
Flattop Mtn.,482,MT,MONTANA,SNTL,SNOTEL,6300,48.80225,-113.85713,Flathead,29,10/1/1969,1/1/2100,351.05685,12.51603,42,Evergreen Forest
Fool Creek,1186,CO,COLORADO,SNTL,SNOTEL,11156,39.86866,-105.86765,Grand,49,7/28/2011,1/1/2100,23.90814,12.74469,42,Evergreen Forest
Forestdale Creek,1049,CA,CALIFORNIA,SNTL,SNOTEL,8017,38.68245,-119.9597,Alpine,3,10/1/2003,1/1/2100,285.97443,4.07832,52,Shrub_Scrub
Fort Valley,1121,AZ,ARIZONA,SNTL,SNOTEL,7371,35.26773,-111.74479,Coconino,5,6/26/2008,1/1/2100,145.90628,2.6263,42,Evergreen Forest
Fourmile Lake,483,OR,OREGON,SNTL,SNOTEL,5970,42.43933,-122.2288,Klamath,35,10/1/1978,1/1/2100,72.43899,5.99407,42,Evergreen Forest
Franklin Basin,484,ID,IDAHO,SNTL,SNOTEL,8140,42.0505,-111.6012,Franklin,41,10/1/1978,1/1/2100,281.14526,7.53774,41,Deciduous Forest
Fredonyer Peak,1277,CA,CALIFORNIA,SNTL,SNOTEL,7208,40.68799,-120.60805,Lassen,35,10/7/2016,1/1/2100,349.82193,17.57399,42,Evergreen Forest
Fremont Pass,485,CO,COLORADO,SNTL,SNOTEL,11326,39.38014,-106.19784,Summit,117,10/1/1979,1/1/2100,17.56779,13.7239,42,Evergreen Forest
Frisco Divide,486,NM,NEW MEXICO,SNTL,SNOTEL,8013,33.73687,-108.94327,Catron,3,10/1/1971,1/1/2100,331.09415,16.92907,42,Evergreen Forest
Frohner Meadow,487,MT,MONTANA,SNTL,SNOTEL,6480,46.43545,-112.19277,Jefferson,43,10/1/1967,1/1/2100,119.53141,2.05281,42,Evergreen Forest
Fry,488,AZ,ARIZONA,SNTL,SNOTEL,7236,35.07356,-111.84477,Coconino,5,10/1/1978,1/1/2100,2.46139,5.45742,42,Evergreen Forest
Fry Canyon,1262,NV,NEVADA,SNTL,SNOTEL,6798,41.57022,-115.93645,Elko,7,10/8/2014,1/1/2100,326.21918,29.38994,52,Shrub_Scrub
Galena,489,ID,IDAHO,SNTL,SNOTEL,7470,43.87722,-114.6725,Blaine,13,10/1/1979,1/1/2100,35.44619,11.14059,42,Evergreen Forest
Galena Summit,490,ID,IDAHO,SNTL,SNOTEL,8780,43.87497,-114.71363,Blaine,13,10/1/1978,1/1/2100,66.69633,9.12791,42,Evergreen Forest
Gallegos Peak,491,NM,NEW MEXICO,SNTL,SNOTEL,9480,36.19418,-105.55742,Taos,55,10/1/1979,1/1/2100,3.34569,6.79738,41,Deciduous Forest
Garden City Summit,1114,UT,UTAH,SNTL,SNOTEL,7705,41.9215,-111.4693,Cache,5,10/1/2009,1/1/2100,122.66788,10.07438,42,Evergreen Forest
Gardner Peak,1066,UT,UTAH,SNTL,SNOTEL,8322,37.40083,-113.45988,Washington,53,10/1/2004,1/1/2100,334.6926,53.95953,42,Evergreen Forest
Garfield R.S.,492,ID,IDAHO,SNTL,SNOTEL,6560,43.6104,-113.9308,Blaine,13,10/1/1979,1/1/2100,242.20361,18.98003,52,Shrub_Scrub
Garita Peak,1173,NM,NEW MEXICO,SNTL,SNOTEL,10115,36.00469,-106.54805,Rio Arriba,39,9/23/2016,1/1/2100,200.49414,17.77663,42,Evergreen Forest
Garver Creek,918,MT,MONTANA,SNTL,SNOTEL,4250,48.97523,-115.81915,Lincoln,53,10/1/1968,1/1/2100,97.75777,1.67581,42,Evergreen Forest
GBRC HQ,1221,UT,UTAH,SNTL,SNOTEL,8801,39.32019,-111.48827,Sanpete,39,10/1/2012,1/1/2100,229.09343,4.09234,52,Shrub_Scrub
GBRC Meadows,1222,UT,UTAH,SNTL,SNOTEL,9858,39.30229,-111.45383,Sanpete,39,10/1/2012,1/1/2100,336.71744,12.6972,42,Evergreen Forest
George Creek,1151,UT,UTAH,SNTL,SNOTEL,8964,41.91562,-113.41154,Box Elder,3,10/1/2010,1/1/2100,336.84439,11.92051,42,Evergreen Forest
Gerber Reservoir,945,OR,OREGON,SNTL,SNOTEL,4890,42.2062,-121.1334,Klamath,35,10/1/1998,1/1/2100,47.55276,5.26086,42,Evergreen Forest
Giveout,493,ID,IDAHO,SNTL,SNOTEL,6930,42.4132,-111.1663,Bear Lake,7,10/1/1979,1/1/2100,77.30629,12.7754,52,Shrub_Scrub
Glen Cove,1057,CO,COLORADO,SNTL,SNOTEL,11391,38.87602,-105.07605,Teller,119,8/1/2004,1/1/2100,72.76491,23.09905,42,Evergreen Forest
Golconda,1195,NV,NEVADA,SNTL,SNOTEL,6616,40.88358,-117.58812,Humboldt,13,10/1/2011,1/1/2100,14.97154,26.8702,90,Woody Wetlands
Gold Axe Camp,1159,WA,WASHINGTON,SNTL,SNOTEL,5360,48.9516,-118.9864,Okanogan,47,10/1/2010,1/1/2100,140.39828,18.15827,52,Shrub_Scrub
Gold Basin,1304,UT,UTAH,SNTL,SNOTEL,10076,38.46516,-109.26332,San Juan,37,9/1/2021,1/1/2100,334.96265,1.27178,42,Evergreen Forest
Gold Center,494,OR,OREGON,SNTL,SNOTEL,5410,44.7638,-118.3117,Grant,23,10/1/1979,1/1/2100,214.2847,15.77933,42,Evergreen Forest
Gold Mountain,1256,WA,WASHINGTON,SNTL,SNOTEL,4390,48.18934,-118.4559,Ferry,19,10/8/2010,1/1/2100,107.42469,31.44915,42,Evergreen Forest
Gooseberry RS,495,UT,UTAH,SNTL,SNOTEL,7944,38.80034,-111.68333,Sevier,41,6/27/1979,1/1/2100,4.77186,6.13332,22,Developed_Low Intensity
Gooseberry RS Up,1184,UT,UTAH,SNTL,SNOTEL,8396,38.7882,-111.68892,Sevier,41,10/1/2011,1/1/2100,333.02332,12.91997,21,Developed_Open Space
Graham Guard Sta.,496,ID,IDAHO,SNTL,SNOTEL,5690,43.9538,-115.27387,Elmore,39,10/1/1978,1/1/2100,257.29135,2.59077,52,Shrub_Scrub
Grand Targhee,1082,WY,WYOMING,SNTL,SNOTEL,9260,43.77933,-110.92783,Teton,39,8/21/2006,1/1/2100,262.552,8.07069,52,Shrub_Scrub
Granite Creek,497,WY,WYOMING,SNTL,SNOTEL,6770,43.34298,-110.43495,Teton,39,10/1/1987,1/1/2100,285.09396,4.333,42,Evergreen Forest
Granite Peak,498,NV,NEVADA,SNTL,SNOTEL,8503,41.67032,-117.56668,Humboldt,13,10/1/1980,1/1/2100,80.79314,12.99188,43,Mixed Forest
Grassy Lake,499,WY,WYOMING,SNTL,SNOTEL,7265,44.12612,-110.83435,Teton,39,9/1/1962,1/1/2100,167.05688,7.03134,42,Evergreen Forest
Grave Creek,500,MT,MONTANA,SNTL,SNOTEL,4300,48.91453,-114.76663,Flathead,29,10/1/1968,1/1/2100,121.33372,12.7075,42,Evergreen Forest
Grave Springs,501,WY,WYOMING,SNTL,SNOTEL,8550,43.46643,-107.23977,Natrona,25,10/1/1991,1/1/2100,46.61526,3.94279,42,Evergreen Forest
Grayback,1058,CO,COLORADO,SNTL,SNOTEL,11626,37.47051,-106.5379,Rio Grande,105,9/1/2004,1/1/2100,133.94363,9.71816,42,Evergreen Forest
Green Lake,502,WA,WASHINGTON,SNTL,SNOTEL,5920,46.54741,-121.17093,Yakima,77,10/1/1981,1/1/2100,79.20468,5.10466,42,Evergreen Forest
Green Mountain,503,NV,NEVADA,SNTL,SNOTEL,8185,40.3848,-115.52757,Elko,7,10/1/1980,1/1/2100,234.81409,18.52357,41,Deciduous Forest
Greenpoint,504,OR,OREGON,SNTL,SNOTEL,3310,45.62237,-121.70415,Hood River,27,10/1/1978,1/1/2100,22.33606,8.76636,42,Evergreen Forest
Grizzly Peak,505,CO,COLORADO,SNTL,SNOTEL,11139,39.64646,-105.8694,Summit,117,10/1/1979,1/1/2100,130.85869,15.63579,42,Evergreen Forest
Gros Ventre Summit,506,WY,WYOMING,SNTL,SNOTEL,8750,43.38939,-110.12943,Teton,39,4/1/1976,1/1/2100,359.42984,0.8156,42,Evergreen Forest
Grouse Camp,507,WA,WASHINGTON,SNTL,SNOTEL,5390,47.28107,-120.48771,Kittitas,37,10/1/1979,1/1/2100,170.06296,6.43269,71,Grassland_Herbaceous
Gunsight Pass,944,WY,WYOMING,SNTL,SNOTEL,9820,43.38332,-109.87815,Sublette,35,9/1/1998,1/1/2100,209.4796,13.54109,42,Evergreen Forest
Gutz Peak,1065,UT,UTAH,SNTL,SNOTEL,6763,37.49617,-113.94235,Washington,53,10/1/2004,1/1/2100,315.17715,9.68814,41,Deciduous Forest
Hagans Meadow,508,CA,CALIFORNIA,SNTL,SNOTEL,7742,38.8519,-119.9374,El Dorado,17,10/1/1978,1/1/2100,193.6149,6.57443,95,Emergent Herbaceous Wetlands
Hams Fork,509,WY,WYOMING,SNTL,SNOTEL,7840,42.146,-110.67833,Lincoln,23,10/1/1984,1/1/2100,243.83203,12.53751,43,Mixed Forest
Hand Creek,510,MT,MONTANA,SNTL,SNOTEL,5035,48.30754,-114.84075,Flathead,29,10/1/1976,1/1/2100,94.86694,5.58913,52,Shrub_Scrub
Hannagan Meadows,511,AZ,ARIZONA,SNTL,SNOTEL,9027,33.65352,-109.30877,Greenlee,11,10/1/1956,1/1/2100,24.84503,8.24051,42,Evergreen Forest
Hansen Sawmill,512,WY,WYOMING,SNTL,SNOTEL,8360,44.25602,-106.97983,Johnson,19,10/1/1979,1/1/2100,114.94386,4.97215,42,Evergreen Forest
Happy Jack,969,AZ,ARIZONA,SNTL,SNOTEL,7539,34.74594,-111.41219,Coconino,5,6/1/1999,1/1/2100,122.81067,2.05509,42,Evergreen Forest
Hardscrabble,896,UT,UTAH,SNTL,SNOTEL,7250,40.86833,-111.71865,Morgan,29,10/1/1993,1/1/2100,283.48358,17.17001,41,Deciduous Forest
Harris Flat,514,UT,UTAH,SNTL,SNOTEL,7792,37.48997,-112.57602,Kane,25,8/4/1979,1/1/2100,96.49035,0.63395,52,Shrub_Scrub
Harts Pass,515,WA,WASHINGTON,SNTL,SNOTEL,6490,48.72047,-120.6586,Okanogan,47,10/1/1979,1/1/2100,264.77277,9.85728,42,Evergreen Forest
Hawkins Lake,516,MT,MONTANA,SNTL,SNOTEL,6450,48.9723,-115.95337,Lincoln,53,10/1/1968,1/1/2100,80.96276,14.34138,42,Evergreen Forest
Hawley Lake,1271,AZ,ARIZONA,SNTL,SNOTEL,8314,33.97121,-109.76531,Apache,1,9/18/2015,1/1/2100,12.11447,10.20766,42,Evergreen Forest
Hayden Fork,517,UT,UTAH,SNTL,SNOTEL,9130,40.79669,-110.88472,Summit,43,10/1/1978,1/1/2100,115.32014,22.3802,43,Mixed Forest
Hayden Pass,1102,CO,COLORADO,SNTL,SNOTEL,10699,38.29303,-105.85027,Saguache,109,8/28/2007,1/1/2100,318.05179,12.38867,42,Evergreen Forest
Heavenly Valley,518,CA,CALIFORNIA,SNTL,SNOTEL,8534,38.92431,-119.91641,El Dorado,17,10/1/1978,1/1/2100,247.80742,8.83528,52,Shrub_Scrub
Heber,519,AZ,ARIZONA,SNTL,SNOTEL,7654,34.31254,-110.75433,Coconino,5,10/1/1953,1/1/2100,74.56279,1.84096,42,Evergreen Forest
Hemlock Butte,520,ID,IDAHO,SNTL,SNOTEL,5810,46.48111,-115.63361,Clearwater,35,10/1/1982,1/1/2100,15.41865,34.30747,52,Shrub_Scrub
Hewinta,521,UT,UTAH,SNTL,SNOTEL,9500,40.95009,-110.48419,Summit,43,9/19/1985,1/1/2100,98.81105,7.05022,42,Evergreen Forest
Hickerson Park,522,UT,UTAH,SNTL,SNOTEL,9122,40.90663,-109.96287,Daggett,9,9/17/1985,1/1/2100,38.37312,5.38773,52,Shrub_Scrub
